onetsoc,title,job_zone,job_zone_name,VA,AR,CM,SA,FP,CP,MC,MD,FD,n_descriptors_used,missing_flags,abilities_date
19-3039.02,Neuropsychologists,5,Job Zone Five: Extensive Preparation Needed,9.59,6.73,6.48,5.00,5.88,5.88,3.74,3.56,3.50,17,,08/2024
19-3039.03,Clinical Neuropsychologists,5,Job Zone Five: Extensive Preparation Needed,9.07,6.58,6.50,4.75,5.88,5.88,3.75,3.51,3.69,17,,08/2024
19-3041.00,Sociologists,5,Job Zone Five: Extensive Preparation Needed,9.13,6.99,6.49,3.88,4.24,4.24,1.88,1.44,1.56,17,,08/2023
19-3051.00,Urban and Regional Planners,5,Job Zone Five: Extensive Preparation Needed,8.50,6.68,6.64,6.87,5.37,5.37,2.50,1.75,3.07,17,,08/2021
19-3091.00,Anthropologists and Archeologists,5,Job Zone Five: Extensive Preparation Needed,9.35,5.77,5.68,6.38,5.76,5.76,3.13,3.13,3.26,17,,08/2024
19-3092.00,Geographers,4,Job Zone Four: Considerable Preparation Needed,8.81,6.49,6.49,6.12,6.24,6.24,1.76,1.63,1.76,17,,08/2023
19-3093.00,Historians,5,Job Zone Five: Extensive Preparation Needed,9.01,3.77,3.69,3.75,4.24,4.24,2.50,2.00,2.00,17,,08/2025
19-3094.00,Political Scientists,5,Job Zone Five: Extensive Preparation Needed,9.14,6.78,6.20,4.12,4.24,4.24,1.63,1.32,1.82,17,,08/2022
19-3099.01,Transportation Planners,4,Job Zone Four: Considerable Preparation Needed,8.16,7.66,7.50,7.88,5.88,5.88,2.24,1.74,2.37,17,,08/2023
19-4012.00,Agricultural Technicians,3,Job Zone Three: Medium Preparation Needed,6.94,6.20,6.20,5.50,5.88,5.88,3.88,4.82,4.82,17,,08/2024
19-4012.01,Precision Agriculture Technicians,3,Job Zone Three: Medium Preparation Needed,7.58,6.91,6.87,6.50,6.12,6.12,3.75,4.69,4.69,17,,08/2023
19-4013.00,Food Science Technicians,3,Job Zone Three: Medium Preparation Needed,7.40,6.19,6.19,5.37,6.24,6.24,3.12,3.87,4.25,17,,08/2023
19-4021.00,Biological Technicians,4,Job Zone Four: Considerable Preparation Needed,7.72,6.65,6.53,6.12,6.12,6.12,4.37,5.00,5.19,17,,07/2017
